name	ncbi_taxid
Kitasatospora	NCBITaxon:2063
Desulfuromonadales	NCBITaxon:69541
Geobacteraceae	NCBITaxon:213422
Geobacter	NCBITaxon:28231
Sphingobium	NCBITaxon:165695
Rhodocyclales	NCBITaxon:206389
Rhodocyclaceae	NCBITaxon:75787
Azoarcus	NCBITaxon:12960
Chryseobacterium	NCBITaxon:59732
Cytophagaceae	NCBITaxon:89373
Hymenobacter	NCBITaxon:89966
Syntrophomonadaceae	NCBITaxon:68298
Rhodobiaceae	NCBITaxon:119043
Parvibaculum	NCBITaxon:256616
Acidobacteria_Gp6	null
Gp6	null
Sinobacteraceae	NCBITaxon:568386
Nevskia	NCBITaxon:64001
Clostridiaceae 1	null
Clostridium sensu stricto	null
Geodermatophilaceae	NCBITaxon:85030
Fusobacteria	NCBITaxon:32066
Fusobacteriales	NCBITaxon:203491
Leptotrichiaceae	NCBITaxon:1129771
Leptotrichia	NCBITaxon:32067
Alteromonadales	NCBITaxon:135622
Alteromonadaceae	NCBITaxon:72275
Haliea	NCBITaxon:475794
Desulfovibrionales	NCBITaxon:213115
Desulfovibrionaceae	NCBITaxon:194924
Desulfovibrio	NCBITaxon:872
Microbacteriaceae	NCBITaxon:85023
Chondromyces	NCBITaxon:50
Spirosoma	NCBITaxon:107
Sphingopyxis	NCBITaxon:165697
Peptococcaceae 2	null
Desulfotomaculum	NCBITaxon:1562
Pseudonocardiaceae	NCBITaxon:2070
Pedobacter	NCBITaxon:84567
Gordonia	null
Pseudoxanthomonas	NCBITaxon:83618
Spartobacteria	NCBITaxon:134549
Spartobacteria_genera_incertae_sedis	null
Methylocella	NCBITaxon:120652
Caulobacter	NCBITaxon:75
Ruminococcaceae	NCBITaxon:541000
Agromyces	NCBITaxon:33877
Cloacibacterium	NCBITaxon:501783
Bdellovibrionaceae	NCBITaxon:213483
Vampirovibrio	NCBITaxon:213484
Hyphomicrobiaceae	NCBITaxon:45401
Hyphomicrobium	NCBITaxon:81
Coxiellaceae	NCBITaxon:118968
Aquicella	NCBITaxon:254245
Nitrosomonadales	NCBITaxon:32003
Nitrosomonadaceae	NCBITaxon:206379
Peptococcaceae 1	null
Desulfitobacterium	NCBITaxon:36853
Bacteriovorax	NCBITaxon:146784
Alcaligenaceae	NCBITaxon:506
Singulisphaera	NCBITaxon:466152
Conexibacteraceae	NCBITaxon:320583
Conexibacter	NCBITaxon:191494
Kineosporiaceae	NCBITaxon:83778
Kineosporia	NCBITaxon:49184
Duganella	NCBITaxon:75654
Methylobacteriaceae	NCBITaxon:119045
Methylobacterium	NCBITaxon:407
Dyadobacter	NCBITaxon:120831
Mycobacteriaceae	NCBITaxon:1762
Mycobacterium	NCBITaxon:1763
Granulicella	NCBITaxon:940557
Flavitalea	NCBITaxon:1210116
Paenibacillaceae 1	null
Paenibacillus	NCBITaxon:44249
Aerococcaceae	NCBITaxon:186827
Abiotrophia	NCBITaxon:46123
OD1	null
OD1_genera_incertae_sedis	null
Enterococcaceae	NCBITaxon:81852
Vagococcus	NCBITaxon:2737
Desulfuromonadaceae	NCBITaxon:213421
Pelobacter	NCBITaxon:18
Aeromicrobium	NCBITaxon:2040
Adhaeribacter	NCBITaxon:299566
Armatimonadetes_gp4	null
Sphingobacterium	NCBITaxon:28453
Flavisolibacter	NCBITaxon:398041
Brevibacillus	NCBITaxon:55080
Arenimonas	NCBITaxon:490567
Staphylococcaceae	NCBITaxon:90964
Staphylococcus	NCBITaxon:1279
Steroidobacter	NCBITaxon:469322
Bacillales_Incertae Sedis XI	null
Gemella	NCBITaxon:1378
Hydrogenophilales	NCBITaxon:119069
Hydrogenophilaceae	NCBITaxon:206349
Thiobacillus	NCBITaxon:919
Variovorax	NCBITaxon:34072
Dechloromonas	NCBITaxon:73029
Bacillaceae 1	null
Bacillus	null
Enterobacteriales	NCBITaxon:91347
Enterobacteriaceae	NCBITaxon:543
Brevundimonas	NCBITaxon:41275
Arthrobacter	NCBITaxon:1663
Streptomyces	NCBITaxon:1883
Stenotrophomonas	NCBITaxon:40323
Intrasporangiaceae	NCBITaxon:85021
Janibacter	NCBITaxon:53457
Burkholderiaceae	NCBITaxon:119060
Burkholderia	NCBITaxon:32008
Desulfobacterales	NCBITaxon:213118
Desulfobacteraceae	NCBITaxon:213119
Bdellovibrio	NCBITaxon:958
Cytophaga	NCBITaxon:978
Zavarzinella	NCBITaxon:600332
Opitutus	NCBITaxon:178440
Alicyclobacillaceae	NCBITaxon:186823
Tumebacillus	NCBITaxon:432330
Alkanindiges	NCBITaxon:222991
Peptoniphilus	NCBITaxon:162289
Propionibacteriaceae	NCBITaxon:31957
Propionibacterium	NCBITaxon:1743
Negativicutes	NCBITaxon:909932
Selenomonadales	NCBITaxon:909929
Veillonellaceae	NCBITaxon:31977
Cohnella	NCBITaxon:329857
Acidobacteria_Gp13	null
Gp13	null
Desulfobacula	NCBITaxon:28222
Acidobacteria_Gp17	null
Gp17	null
Acidobacteria_Gp2	null
Gp2	null
Bradyrhizobiaceae	NCBITaxon:41294
Bradyrhizobium	NCBITaxon:374
Bacteroidetes_incertae_sedis	null
Ohtaekwangia	NCBITaxon:1210119
Ralstonia	NCBITaxon:48736
Coriobacteriales	NCBITaxon:84999
Coriobacteriaceae	NCBITaxon:84107
Olsenella	NCBITaxon:133925
Desulfatiferula	NCBITaxon:396320
Rhizobiaceae	NCBITaxon:82115
Rhizobium	NCBITaxon:379
Acidobacteria_Gp10	null
Gp10	null
Gp1	null
Rhodobacterales	NCBITaxon:204455
Rhodobacteraceae	NCBITaxon:31989
Acidobacteria_Gp7	null
Gp7	null
Actinomycetaceae	NCBITaxon:2049
Actinomyces	NCBITaxon:1654
Pantoea	NCBITaxon:53335
Escherichia/Shigella	null
Desulfobulbaceae	NCBITaxon:213121
Ensifer	NCBITaxon:106591
Modestobacter	NCBITaxon:88138
Lachnospiraceae	NCBITaxon:186803
Rubrobacterales	NCBITaxon:84996
Rubrobacteraceae	NCBITaxon:84997
Rubrobacter	NCBITaxon:42255
Lactobacillaceae	NCBITaxon:33958
Lactobacillus	NCBITaxon:1578
Carnobacteriaceae	NCBITaxon:186828
Atopostipes	NCBITaxon:292480
Dorea	NCBITaxon:189330
Acidobacteria_Gp18	null
Gp18	null
