name	read_count	read_type	sequencing_technology	link
GW694_33_12_3_12_10.reads	44436	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW694_33_12_3_12_10.reads
GW704_5_12_17_12_02.reads	63026	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW704_5_12_17_12_02.reads
GW704_5_12_17_12_10.reads	102042	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW704_5_12_17_12_10.reads
GW705_9_2_21_13_02.reads	68910	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW705_9_2_21_13_02.reads
GW705_9_2_21_13_10.reads	70019	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW705_9_2_21_13_10.reads
GW706_96_12_17_12_02.reads	96624	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW706_96_12_17_12_02.reads
GW706_96_12_17_12_10.reads	168938	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW706_96_12_17_12_10.reads
GW714_34_2_12_13_02.reads	65010	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW714_34_2_12_13_02.reads
GW714_34_2_12_13_10.reads	65026	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW714_34_2_12_13_10.reads
GW715_65_2_12_13_02.reads	50954	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW715_65_2_12_13_02.reads
GW715_65_2_12_13_10.reads	44291	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW715_65_2_12_13_10.reads
GW736_14_12_3_12_02.reads	61356	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW736_14_12_3_12_02.reads
GW736_14_12_3_12_10.reads	66259	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW736_14_12_3_12_10.reads
GW737_12_12_12_02.reads	53908	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW737_12_12_12_02.reads
GW737_12_12_12_10.reads	69533	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW737_12_12_12_10.reads
GW750_28_12_12_12_02.reads	63498	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW750_28_12_12_12_02.reads
GW750_28_12_12_12_10.reads	73754	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW750_28_12_12_12_10.reads
GW753_79_1_7_13_02.reads	39893	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW753_79_1_7_13_02.reads
GW753_79_1_7_13_10.reads	55715	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW753_79_1_7_13_10.reads
GW754_40_1_7_13_02.reads	79706	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW754_40_1_7_13_02.reads
GW754_40_1_7_13_10.reads	46185	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW754_40_1_7_13_10.reads
GW755_69_1_8_13_02.reads	40928	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW755_69_1_8_13_02.reads
GW755_69_1_8_13_10.reads	29326	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW755_69_1_8_13_10.reads
GW760_18_1_29_13_10.reads	69396	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW760_18_1_29_13_10.reads
GW761_29_1_28_13_02.reads	42380	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW761_29_1_28_13_02.reads
GW761_29_1_28_13_10.reads	63962	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW761_29_1_28_13_10.reads
GW763_23_1_22_13_02.reads	165989	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW763_23_1_22_13_02.reads
GW763_23_1_22_13_10.reads	74890	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW763_23_1_22_13_10.reads
GW764_23_1_11_13_02.reads	117393	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW764_23_1_11_13_02.reads
GW764_23_1_11_13_10.reads	77857	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW764_23_1_11_13_10.reads
GW765_77_1_11_13_02.reads	19010	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW765_77_1_11_13_02.reads
GW765_77_1_11_13_10.reads	66964	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW765_77_1_11_13_10.reads
GW773_35_2_4_13_02.reads	51838	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW773_35_2_4_13_02.reads
GW773_35_2_4_13_10.reads	66951	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW773_35_2_4_13_10.reads
GW775_88_1_29_13_02.reads	40929	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW775_88_1_29_13_02.reads
GW775_88_1_29_13_10.reads	59646	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW775_88_1_29_13_10.reads
GW779_8_2_18_13_02.reads	80568	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW779_8_2_18_13_02.reads
GW779_8_2_18_13_10.reads	63077	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW779_8_2_18_13_10.reads
GW782_72_2_18_13_02.reads	43109	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW782_72_2_18_13_02.reads
GW782_72_2_18_13_10.reads	60070	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW782_72_2_18_13_10.reads
GW800_12_12_12_02.reads	32982	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW800_12_12_12_02.reads
GW800_12_12_12_10.reads	43926	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW800_12_12_12_10.reads
GW803_31_1_23_13_02.reads	52482	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW803_31_1_23_13_02.reads
GW803_31_1_23_13_10.reads	89011	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW803_31_1_23_13_10.reads
GW804_13_2_11_13_02.reads	55246	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW804_13_2_11_13_02.reads
GW804_13_2_11_13_10.reads	90947	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW804_13_2_11_13_10.reads
GW921_86_1_28_13_02.reads	112296	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW921_86_1_28_13_02.reads
GW921_86_1_28_13_10.reads	59968	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW921_86_1_28_13_10.reads
GW925_68_1_28_13_02.reads	61200	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW925_68_1_28_13_02.reads
GW925_68_1_28_13_10.reads	51124	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW925_68_1_28_13_10.reads
GW928_54_2_11_13_02.reads	50456	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW928_54_2_11_13_02.reads
GW928_54_2_11_13_10.reads	34919	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW928_54_2_11_13_10.reads
GW929_2_11_13_02.reads	160884	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW929_2_11_13_02.reads
GW929_2_11_13_10.reads	209515	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW929_2_11_13_10.reads
PTMW02_4_12_11_12_02.reads	54838	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/PTMW02_4_12_11_12_02.reads
PTMW02_4_12_11_12_10.reads	79710	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/PTMW02_4_12_11_12_10.reads
TPB16_7_26_12_02.reads	42214	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/TPB16_7_26_12_02.reads
TPB16_7_26_12_3.reads	46115	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/TPB16_7_26_12_3.reads
TPB16_81_11_28_12_02.reads	33494	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/TPB16_81_11_28_12_02.reads
TPB16_81_11_28_12_10.reads	76860	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/TPB16_81_11_28_12_10.reads
