name	read_count	read_type	sequencing_technology	link
GW101_11_13_12_02_b.reads	61043	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW101_11_13_12_02_b.reads
FW109_40_92_11_14_12_10.reads	44074	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW109_40_92_11_14_12_10.reads
GW101_11_13_12_10.reads	109556	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW101_11_13_12_10.reads
FW126_7_25_12_02.reads	31875	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW126_7_25_12_02.reads
GW127_16_11_26_12_10.reads	70116	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW127_16_11_26_12_10.reads
FW126_7_25_12_3.reads	44625	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW126_7_25_12_3.reads
GW101_11_13_12_10_b.reads	62185	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW101_11_13_12_10_b.reads
FW215_84_11_27__12_02.reads	45492	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW215_84_11_27__12_02.reads
GW101_7_25_12_02.reads	65040	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW101_7_25_12_02.reads
FW215_84_11_27__12_10.reads	5969	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW215_84_11_27__12_10.reads
FW233_2_17_99_11_28_12_02.reads	156042	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW233_2_17_99_11_28_12_02.reads
FW511_61_11_26_12_10.reads	46241	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW511_61_11_26_12_10.reads
FW233_2_17_99_11_28_12_10.reads	126438	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW233_2_17_99_11_28_12_10.reads
GW101_7_25_12_02_b.reads	53364	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW101_7_25_12_02_b.reads
FW300_59_10_19_12_02.reads	73099	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW300_59_10_19_12_02.reads
GW101_7_25_12_3.reads	101679	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW101_7_25_12_3.reads
FW300_59_10_19_12_10.reads	79813	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW300_59_10_19_12_10.reads
GW101_7_25_12_3_b.reads	55550	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW101_7_25_12_3_b.reads
FW301_7_25_12_02.reads	67168	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW301_7_25_12_02.reads
GW148_12_17_12_02.reads	73651	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW148_12_17_12_02.reads
FW301_7_25_12_3.reads	109171	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW301_7_25_12_3.reads
GW105_12_11_12_02.reads	43629	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW105_12_11_12_02.reads
FW301_81_10_19_12_02.reads	67573	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW301_81_10_19_12_02.reads
GW105_12_11_12_10.reads	69697	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW105_12_11_12_10.reads
FW301_81_10_19_12_10.reads	49819	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW301_81_10_19_12_10.reads
GW107_91_12_11_12_02.reads	37028	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW107_91_12_11_12_02.reads
FW301_81_2_20_13_02.reads	49875	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW301_81_2_20_13_02.reads
GW107_91_12_11_12_10.reads	65743	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW107_91_12_11_12_10.reads
FW301_81_2_20_13_10.reads	45932	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW301_81_2_20_13_10.reads
GW115_2_11_26_12_02.reads	56035	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW115_2_11_26_12_02.reads
FW303_11_10_23_12_02.reads	50813	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW303_11_10_23_12_02.reads
GW115_2_11_26_12_10.reads	18587	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW115_2_11_26_12_10.reads
FW303_11_10_23_12_10.reads	52768	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW303_11_10_23_12_10.reads
GW115_2_11_26_12_10_b.reads	108339	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW115_2_11_26_12_10_b.reads
FW303_11_2_20_13_02.reads	55956	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW303_11_2_20_13_02.reads
GW122_78_11_14_12_02.reads	103918	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW122_78_11_14_12_02.reads
FW410_28_46_11_13_12_02.reads	13144	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW410_28_46_11_13_12_02.reads
GW122_78_11_14_12_10.reads	129189	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW122_78_11_14_12_10.reads
FW410_28_46_11_13_12_10.reads	52207	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW410_28_46_11_13_12_10.reads
GW123_93_11_14_12_02.reads	65760	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW123_93_11_14_12_02.reads
FW510_26_11_26_12_02.reads	131184	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW510_26_11_26_12_02.reads
GW123_93_11_14_12_10.reads	92069	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW123_93_11_14_12_10.reads
FW510_26_11_26_12_10.reads	66392	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW510_26_11_26_12_10.reads
GW125_85_2_20_13_02.reads	40604	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW125_85_2_20_13_02.reads
FW511_61_11_26_12_02.reads	95272	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW511_61_11_26_12_02.reads
FW511_7_26_13_3.reads	58719	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW511_7_26_13_3.reads
FW603_55_12_3_12_02.reads	69979	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW603_55_12_3_12_02.reads
FW602_2_26_2_11_28_12_02.reads	73063	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW602_2_26_2_11_28_12_02.reads
FW603_55_12_3_12_10.reads	52145	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW603_55_12_3_12_10.reads
FW602_2_26_2_11_28_12_10.reads	54441	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW602_2_26_2_11_28_12_10.reads
GW056_87_1_8_13_02.reads	73122	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW056_87_1_8_13_02.reads
FW602_2_26_2_11_28_12_10_b.reads	77298	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW602_2_26_2_11_28_12_10_b.reads
GW148_12_17_12_10.reads	90130	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW148_12_17_12_10.reads
GW151_12_12_12_02.reads	40543	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW151_12_12_12_02.reads
GW151_12_12_12_10.reads	46586	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW151_12_12_12_10.reads
GW162_37_2_19_13_02.reads	68891	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW162_37_2_19_13_02.reads
GW162_37_2_19_13_10.reads	96730	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW162_37_2_19_13_10.reads
GW190_22_12_11_12_02.reads	85365	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW190_22_12_11_12_02.reads
GW190_22_12_11_12_10.reads	30756	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW190_22_12_11_12_10.reads
GW190_22_12_11_12_10_b.reads	48784	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW190_22_12_11_12_10_b.reads
GW198_41_2_11_13_02.reads	49157	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW198_41_2_11_13_02.reads
GW198_41_2_11_13_10.reads	79887	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW198_41_2_11_13_10.reads
GW199_42_1_28_13_02.reads	82514	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW199_42_1_28_13_02.reads
GW199_42_1_28_13_10.reads	51176	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW199_42_1_28_13_10.reads
GW220_50_12_12_12_02.reads	39113	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW220_50_12_12_12_02.reads
GW220_50_12_12_12_10.reads	52382	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW220_50_12_12_12_10.reads
GW223_39_1_8_13_02.reads	76174	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW223_39_1_8_13_02.reads
GW223_39_1_8_13_10.reads	51574	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW223_39_1_8_13_10.reads
GW228_12_2_4_13_02.reads	42509	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW228_12_2_4_13_02.reads
GW228_12_2_4_13_10.reads	133841	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW228_12_2_4_13_10.reads
GW246_1_11_26_12_02.reads	50181	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW246_1_11_26_12_02.reads
GW246_1_11_26_12_10.reads	17377	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW246_1_11_26_12_10.reads
GW246_1_11_26_12_10_b.reads	79142	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW246_1_11_26_12_10_b.reads
GW247_7_11_14_12_02.reads	61771	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW247_7_11_14_12_02.reads
GW247_7_11_14_12_10.reads	73393	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW247_7_11_14_12_10.reads
GW271_66_2_18_13_02.reads	36621	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW271_66_2_18_13_02.reads
GW271_66_2_18_13_10.reads	57997	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW271_66_2_18_13_10.reads
GW283_43_1_29_13_02.reads	80823	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW283_43_1_29_13_02.reads
