process	person	campaign	protocol	date_start	date_end	input_objects	output_objects	
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW233_2_17_99_11_28_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW300_59_10_19_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW300_59_10_19_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW301_7_25_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW301_7_25_12_3.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW301_81_10_19_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW301_81_10_19_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW301_81_2_20_13_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW301_81_2_20_13_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW303_11_10_23_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW303_11_10_23_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW303_11_2_20_13_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW410_28_46_11_13_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW410_28_46_11_13_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
