process	person	campaign	protocol	date_start	date_end	input_objects	output_objects	
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Sample: FW109-35-61-11-14-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Sample: FW109-35-61-11-14-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Sample: FW109-40-92-11-14-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Sample: FW109-40-92-11-14-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Sample: GW122-78-11-14-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Sample: GW122-78-11-14-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Sample: GW123-93-11-14-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Sample: GW123-93-11-14-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Sample: GW247-7-11-14-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Sample: GW247-7-11-14-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Sample: FW507-49-11-26-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Sample: FW510-26-11-26-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Sample: FW510-26-11-26-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Sample: FW511-61-11-26-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Sample: FW511-61-11-26-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Sample: GW115-2-11-26-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Sample: GW115-2-11-26-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Sample: GW127-16-11-26-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Sample: GW127-16-11-26-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Sample: GW246-1-11-26-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Sample: GW246-1-11-26-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Sample: GW537-24-11-26-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Sample: GW537-24-11-26-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Sample: DP16D-67-11-27-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Sample: DP16D-67-11-27-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Sample: FW021-46-11-27-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Sample: FW215-84-11-27-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Sample: FW215-84-11-27-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Sample: GW345-51-11-27-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Sample: GW345-51-11-27-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Sample: GW346-47-11-27-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Sample: GW346-47-11-27-12 timepoint 2	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Sample: GW526-15-11-27-12	Generic: hazen_field_100ws.hndarray
